procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 84198540   1600 163612524    0    0     0 955541 106583 754407 15  6 79  1  0  0
 2  0      0 83857360   1600 164005932    0    0     0 944876 110192 805552 16  6 78  1  0  0
237  1      0 83446376   1600 164399344    0    0     0 947409 114461 901264 19  7 74  1  0  0
 1  1      0 83050512   1600 164809112    0    0     0 943655 124186 985524 21  7 72  1  0  0
 2  0      0 82661852   1600 165235260    0    0     0 948188 137036 1155712 27  9 63  0  0  0
 0  1      0 82239584   1600 165644976    0    0     0 956962 137471 1264341 25  9 65  0  0  0
80  1      0 81851808   1600 166054688    0    0     0 937847 151642 1445671 34 11 55  0  0  0
205  1      0 81425716   1600 166464452    0    0     0 935937 167478 1703380 38 12 49  0  0  0
216  1      0 81035916   1600 166890732    0    0     0 949866 184439 2042869 46 15 39  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
169  1      0 80604352   1600 167316808    0    0     0 938139 193448 2496606 56 16 28  0  0  0
166  1      0 80123264   1600 167726456    0    0     0 933707 163728 1835979 43 12 45  0  0  0
174  0      0 79692976   1600 168152584    0    0     0 954972 169182 2483364 56 15 29  0  0  0
208  0      0 79351776   1600 168496872    0    0     0 984436 154615 3332223 70 18 11  0  0  0
189  0      0 79050960   1600 168817556    0    0     0 1083639 158624 3216496 66 17 17  0  0  0
150  1      0 78721548   1600 169107532    0    0     0 1085860 154851 3209417 65 18 17  0  0  0
184  1      0 78439908   1600 169406460    0    0     0 1131652 153213 3240978 66 17 17  0  0  0
200  1      0 78168256   1600 169688800    0    0     0 1127280 152686 3232835 66 17 17  0  0  0
184  1      0 77923012   1600 169955508    0    0     0 1220339 153104 3243365 65 17 17  0  0  0
232  1      0 77650748   1600 170223812    0    0     0 1225633 151196 3244338 66 17 17  0  0  0
241  0      0 77377020   1600 170490500    0    0     0 1201151 158342 3212860 66 16 17  0  0  0
199  1      0 77099264   1600 170759288    0    0     0 1115199 154803 3239594 66 17 17  0  0  0
220  0      0 76837928   1600 171010880    0    0     0 1173726 162372 3201738 66 17 17  0  0  0
189  1      0 76590636   1600 171260912    0    0     0 1110294 160468 3228359 66 17 17  0  0  0
193  1      0 76273172   1600 171544620    0    0     0 1095057 174006 3197110 65 18 17  0  0  0
109  1      0 78639180   1600 169177772    0    0     0 998477 173592 2737791 56 15 29  0  0  0
 0  1      0 78176044   1600 169620424    0    0     0 1098198 73676 281206  6  2 91  1  0  0
 0  1      0 77796196   1600 170014400    0    0     0 1064394 65961 259487  3  1 96  1  0  0
 1  1      0 77345968   1600 170489548    0    0     0 1127223 76951 316239  7  2 90  1  0  0
 0  2      0 76797056   1600 171015492    0    0     0 1302834 82817 358688  6  2 91  1  0  0
 0  1      0 76298112   1600 171507056    0    0     0 1245708 82014 349871  4  2 93  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 75768132   1600 172031344    0    0     0 1294719 85612 385935  9  4 87  1  0  0
 1  1      0 75236920   1600 172539252    0    0     0 1311435 88140 387113  8  3 88  1  0  0
 0  2      0 74726516   1600 173065236    0    0     0 1317331 90463 423969  7  3 90  1  0  0
 1  1      0 74195884   1600 173589528    0    0     0 1305389 85893 408011  9  4 87  1  0  0
 1  0      0 73713552   1600 174081048    0    0     0 1278743 85030 403448  5  2 92  1  0  0
 0  2      0 73223500   1600 174556188    0    0     0 1220962 83843 402657  8  3 88  1  0  0
 0  1      0 72765724   1600 175048612    0    0     0 1216390 84836 416870  7  2 90  1  0  0
 0  2      0 72282604   1600 175542024    0    0     0 1213120 89448 467905  5  2 92  1  0  0
 2  0      0 71787592   1600 176000940    0    0     0 1110620 82791 439774  7  3 90  1  0  0
 0  1      0 71329220   1600 176427868    0    0     0 1072367 78346 416765  6  2 91  1  0  0
 1  0      0 70877496   1600 176871068    0    0     0 1063811 83874 457260  7  3 89  1  0  0
 1  0      0 70490176   1600 177297184    0    0     0 1034122 83305 451449  8  3 88  1  0  0
 0  1      0 70053464   1600 177740824    0    0     0 1087174 87668 493415  8  4 88  1  0  0
 0  1      0 69598848   1600 178184508    0    0     0 1073750 92621 513552  8  3 89  1  0  0
 0  1      0 69229968   1600 178577948    0    0     0 977958 86583 480803 11  4 85  1  0  0
